 Obs_ID ,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33, default 
 2.00 ," 31,065.39 "," 5,644.66 "," 24,706.41 ", 0.09 , (0.00), 0.19 , 0.45 , 0.57 , 0.48 , 0.25 , 0.03 , 0.85 , 0.19 ," (1,496.58)", 1.30 ," (18,243.22)", (0.31), 130.46 , 31.17 , 1.09 , 108.01 , 0.57 , 0.13 , 0.01 , 5.38 , (0.84), (0.54), (0.25), (0.25), 0.34 , 2.75 , 0.33 , 0.07 , -   
 3.00 ," 384,939.62 "," 160,271.28 "," 300,594.10 ", 0.11 , 0.31 , 0.64 , 0.62 , 0.56 , 1.06 , 0.82 , 0.27 , 1.25 , 0.74 ," 17,010.59 ", 2.44 ," 10,374.65 ", 0.10 , 79.16 , 19.53 , 0.76 , -   , 0.04 , -   , 3.84 , 1.38 , 41.60 , 91.00 , 104.50 , 101.35 , 12.83 , 107.26 , 25.38 , 0.01 , -   
 4.00 ," 35,594.84 "," 8,098.99 "," 37,959.10 ", (0.19), 0.08 , 1.35 , 1.19 , 0.92 , 1.61 , 1.52 , (0.64), 1.99 , 1.36 ," 12,013.39 ", 1.49 ," 16,724.11 ", 0.35 , 1.06 , 111.09 , 1.07 , -   , -   , -   , -   , (2.90), 2.55 , 0.55 , 0.69 , 0.68 , 0.68 , 4.21 , (0.01), 0.01 , -   
 5.00 ," 159,580.10 "," 37,215.72 "," 92,530.89 ", (0.00), (0.08), 0.56 , 0.62 , 0.49 , 1.27 , 1.18 , 0.03 , 1.61 , 0.95 ," 29,875.31 ", 1.65 ," 15,843.63 ", 0.15 , 26.54 , 2.00 , 0.99 , -   , 0.13 , 0.21 , 2.89 , (0.04), (0.84), (0.09), 0.20 , 0.21 , 2.01 , 4.77 , 0.27 , 0.01 , -   
 6.00 ," 84,295.44 "," 17,982.95 "," 41,495.76 ", 0.03 , 0.11 , 0.68 , 0.34 , 0.31 , 0.67 , 0.86 , (0.00), 0.78 , 0.70 ," (1,278.44)", (9.32), 628.21 , (0.17), 112.35 , 2.15 , 0.40 , 32.53 , 0.57 , 0.52 , 9.27 , -   , 0.63 , 0.17 , 0.34 , 0.33 , (0.13), 3.53 , 0.77 , 0.05 , -   
 8.00 ," 87,468.87 "," 27,247.45 "," 18,252.09 ", (0.08), 0.05 , 1.33 , 2.84 , 0.98 , 4.61 , 1.60 , (0.49), 5.20 , 1.47 ," 61,458.03 ", 2.90 ," 53,506.47 ", 0.66 , 10.01 , 64.60 , 0.75 , -   , 0.03 , 0.03 , -   , -   , 4.05 , 0.29 , 0.34 , 0.33 , 19.57 , 11.74 , 1.68 , 0.01 , -   
 9.00 ," 26,084.75 ", 328.18 ," 28,873.13 ", 0.13 , 0.02 , 0.17 , 0.34 , 0.19 , 0.48 , 0.25 , 0.50 , 1.15 , 0.19 ," 2,141.37 ", 33.50 ," (12,057.35)", (0.31), 26.81 , 2.35 , 0.90 , -   , 0.17 , -   , -   , -   , 7.27 , 0.29 , 0.81 , 0.82 , 51.53 , 113.19 , 10.07 , 0.03 , -   
 10.00 ," 21,720.06 "," 7,566.96 "," 15,807.19 ", (0.30), (0.08), 0.67 , 1.03 , 0.70 , 1.05 , 0.81 , (0.64), 1.99 , 0.74 ," 8,770.66 ", 2.03 ," 3,811.82 ", 0.15 , 98.54 , 6.62 , 0.74 , 58.52 , 0.30 , 0.04 , 0.01 , (4.38), (0.84), (0.54), (0.25), (0.25), 0.84 , 2.19 , (0.00), 0.02 , -   
 11.00 ," 384,939.62 "," 114,705.25 "," 147,352.55 ", (0.02), 0.06 , 0.29 , 1.03 , 0.19 , 1.31 , 0.74 , (0.01), 0.85 , 0.50 ," 7,976.92 ", 7.37 ," 19,074.66 ", 0.02 , 4.87 , 0.55 , 0.42 , -   , 0.35 , 0.52 , 9.27 , 5.38 , 0.57 , 2.05 , 6.09 , 5.93 , 1.74 , 51.15 , 14.24 , 0.01 , -   
 13.00 ," 31,012.26 "," 2,896.45 "," 8,797.42 ", (0.05), (0.08), 0.63 , 0.57 , 0.39 , 0.48 , 0.78 , (0.24), 0.81 , 0.86 ," (8,913.97)", (22.90)," (18,243.22)", (0.31), 12.16 , 4.94 , 0.24 , 22.59 , 0.47 , 0.52 , 0.69 , -   , (0.84), (0.54), (0.25), (0.25), (0.30), (5.55), 0.24 , 0.07 , -   
